age,sex,province,education,income_family,place_birth_canada,n,cell_prop_of_division_total
0 to 29 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,33,4.412749905393317e-5
0 to 29 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,37,4.9476286818046275e-5
0 to 29 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,44,5.883666540524422e-5
0 to 29 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,38,5.081348375907455e-5
0 to 29 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,50,6.685984705141389e-5
0 to 29 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born outside Canada,2,2.6743938820565553e-6
0 to 29 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,55,7.354583175655527e-5
0 to 29 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"$150,000 and more",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,70,9.360378587197944e-5
0 to 29 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,6,8.023181646169666e-6
0 to 29 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,57,7.622022563861182e-5
0 to 29 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,46,6.151105928730078e-5
0 to 29 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,38,5.081348375907455e-5
0 to 29 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,74,9.895257363609255e-5
0 to 29 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,77,1.0296416445917738e-4
0 to 29 years,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,4,5.348787764113111e-6
0 to 29 years,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,5,6.685984705141388e-6
0 to 29 years,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,9,1.20347724692545e-5
0 to 29 years,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,4,5.348787764113111e-6
0 to 29 years,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,10,1.3371969410282777e-5
0 to 29 years,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,8,1.0697575528226221e-5
