vote_choice,place_birth_canada,sex,education,province,income_family,age,vote_liberal,vote_conservative
Another party (specify),Born in Canada,Female,High school diploma or a high school equivalency certificate,Ontario,"$10,000 to $149,999",45 to 64 years,0,0
Conservative Party,Born in Canada,Male,Bachelor's degree,British Columbia,"$75,000 to $99,999",45 to 64 years,0,1
NDP,Born in Canada,Male,"University certificate, diploma or degree above the bachelor's level",Ontario,"$150,000 and more",45 to 64 years,0,0
Liberal Party,Born outside Canada,Female,Bachelor's degree,Ontario,"$50,000 to $74,999",0 to 29 years,1,0
Conservative Party,Born in Canada,Male,Bachelor's degree,Alberta,"$150,000 and more",65 years and over,0,1
NDP,Born in Canada,Male,Bachelor's degree,Alberta,"$50,000 to $74,999",30 to 44 years,0,0
Liberal Party,Born outside Canada,Male,Bachelor's degree,Ontario,"$10,000 to $149,999",30 to 44 years,1,0
Conservative Party,Born in Canada,Male,High school diploma or a high school equivalency certificate,Ontario,"Less than $25,000",30 to 44 years,0,1
NDP,Born in Canada,Female,Bachelor's degree,Ontario,"$50,000 to $74,999",65 years and over,0,0
Conservative Party,Born in Canada,Female,"College, CEGEP or other non-university certificate or diploma",Newfoundland and Labrador,"$75,000 to $99,999",45 to 64 years,0,1
Conservative Party,Born in Canada,Male,Bachelor's degree,Saskatchewan,"$10,000 to $149,999",45 to 64 years,0,1
Green Party,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Prince Edward Island,"$50,000 to $74,999",45 to 64 years,0,0
Conservative Party,Born outside Canada,Male,High school diploma or a high school equivalency certificate,British Columbia,"$75,000 to $99,999",65 years and over,0,1
Conservative Party,Born in Canada,Male,Bachelor's degree,Alberta,"$10,000 to $149,999",65 years and over,0,1
Liberal Party,Born outside Canada,Male,Bachelor's degree,Ontario,"$10,000 to $149,999",0 to 29 years,1,0
Conservative Party,Born in Canada,Female,Less than high school diploma or its equivalent,Ontario,"$75,000 to $99,999",65 years and over,0,1
Liberal Party,Born in Canada,Female,Bachelor's degree,Ontario,"$50,000 to $74,999",45 to 64 years,1,0
Conservative Party,Born in Canada,Female,Bachelor's degree,Alberta,"$150,000 and more",30 to 44 years,0,1
Conservative Party,Born in Canada,Female,High school diploma or a high school equivalency certificate,British Columbia,"$10,000 to $149,999",65 years and over,0,1
Liberal Party,Born in Canada,Female,High school diploma or a high school equivalency certificate,Quebec,"$25,000 to $49,999",45 to 64 years,1,0
Liberal Party,Born in Canada,Male,University certificate or diploma below the bachelor's level,Nova Scotia,"$25,000 to $49,999",65 years and over,1,0
NDP,Born in Canada,Female,"College, CEGEP or other non-university certificate or diploma",Ontario,"$25,000 to $49,999",30 to 44 years,0,0
Conservative Party,Born in Canada,Female,Bachelor's degree,Ontario,"$10,000 to $149,999",0 to 29 years,0,1
Green Party,Born in Canada,Male,"College, CEGEP or other non-university certificate or diploma",Ontario,"$25,000 to $49,999",45 to 64 years,0,0
Liberal Party,Born in Canada,Male,University certificate or diploma below the bachelor's level,Ontario,"$50,000 to $74,999",65 years and over,1,0
Liberal Party,Born in Canada,Female,"University certificate, diploma or degree above the bachelor's level",British Columbia,"$150,000 and more",45 to 64 years,1,0
Conservative Party,Born in Canada,Male,High school diploma or a high school equivalency certificate,Ontario,"$75,000 to $99,999",45 to 64 years,0,1
NDP,Born in Canada,Male,High school diploma or a high school equivalency certificate,Ontario,"$50,000 to $74,999",65 years and over,0,0
Liberal Party,Born in Canada,Female,"University certificate, diploma or degree above the bachelor's level",Quebec,"$150,000 and more",45 to 64 years,1,0
Conservative Party,Born in Canada,Male,"University certificate, diploma or degree above the bachelor's level",Ontario,"$75,000 to $99,999",65 years and over,0,1
Conservative Party,Born outside Canada,Male,University certificate or diploma below the bachelor's level,Ontario,"$75,000 to $99,999",45 to 64 years,0,1
Liberal Party,Born outside Canada,Female,Bachelor's degree,Ontario,"$50,000 to $74,999",45 to 64 years,1,0
Conservative Party,Born in Canada,Male,University certificate or diploma below the bachelor's level,Ontario,"$25,000 to $49,999",65 years and over,0,1
